,Year,Month,Merchant_ID,Product_ID,Country,Sales,Expense_Price,Holidays,Country_cid,Merchant_ID_cid
0,2013,1,ar00001,1,Argentina,551250.0,14749.306999999999,1.0,0,1
1,2013,1,ar0000100,1,Argentina,239400.0,14749.306999999999,1.0,0,3
2,2013,1,ar0000100,2,Argentina,26230.82,1329.374,1.0,0,3
3,2013,1,ar0000102,1,Argentina,3150.0,14749.306999999999,1.0,0,5
4,2013,1,ar0000102,2,Argentina,16692.34,1329.374,1.0,0,5
5,2013,1,ar0000103,1,Argentina,14175.0,14749.306999999999,1.0,0,6
6,2013,1,ar000011,1,Argentina,472500.0,14749.306999999999,1.0,0,13
7,2013,1,ar000011,2,Argentina,228923.52000000002,1329.374,1.0,0,13
8,2013,1,ar000012,1,Argentina,189000.0,14749.306999999999,1.0,0,20
9,2013,1,ar000012,2,Argentina,157384.92,1329.374,1.0,0,20
10,2013,1,ar000014,1,Argentina,291375.0,14749.306999999999,1.0,0,22
11,2013,1,ar000014,2,Argentina,186000.36,1329.374,1.0,0,22
12,2013,1,ar000015,1,Argentina,28350.0,14749.306999999999,1.0,0,23
13,2013,1,ar000016,1,Argentina,22050.0,14749.306999999999,1.0,0,24
14,2013,1,ar000016,2,Argentina,2384.62,1329.374,1.0,0,24
15,2013,1,ar000019,1,Argentina,78750.0,14749.306999999999,1.0,0,27
16,2013,1,ar00002,1,Argentina,1575000.0,14749.306999999999,1.0,0,28
17,2013,1,ar000020,2,Argentina,7153.86,1329.374,1.0,0,29
18,2013,1,ar000021,1,Argentina,9450.0,14749.306999999999,1.0,0,30
19,2013,1,ar000022,1,Argentina,4725.0,14749.306999999999,1.0,0,31
20,2013,1,ar000023,1,Argentina,189000.0,14749.306999999999,1.0,0,32
21,2013,1,ar000027,1,Argentina,204750.0,14749.306999999999,1.0,0,36
22,2013,1,ar000027,2,Argentina,23846.2,1329.374,1.0,0,36
23,2013,1,ar000028,2,Argentina,14307.72,1329.374,1.0,0,37
24,2013,1,ar00003,1,Argentina,77175.0,14749.306999999999,1.0,0,39
25,2013,1,ar000030,2,Argentina,9538.48,1329.374,1.0,0,40
26,2013,1,ar000034,1,Argentina,97650.0,14749.306999999999,1.0,0,44
27,2013,1,ar000034,2,Argentina,157384.91999999998,1329.374,1.0,0,44
28,2013,1,ar000037,1,Argentina,37800.0,14749.306999999999,1.0,0,47
29,2013,1,ar000037,2,Argentina,2384.62,1329.374,1.0,0,47
30,2013,1,ar000038,1,Argentina,680400.0,14749.306999999999,1.0,0,48
31,2013,1,ar000038,2,Argentina,33384.68,1329.374,1.0,0,48
32,2013,1,ar000039,1,Argentina,20475.0,14749.306999999999,1.0,0,49
33,2013,1,ar000039,2,Argentina,19076.96,1329.374,1.0,0,49
34,2013,1,ar00004,1,Argentina,34650.0,14749.306999999999,1.0,0,50
35,2013,1,ar000040,1,Argentina,69300.0,14749.306999999999,1.0,0,51
36,2013,1,ar000040,2,Argentina,38153.92,1329.374,1.0,0,51
37,2013,1,ar000041,1,Argentina,20475.0,14749.306999999999,1.0,0,52
38,2013,1,ar000041,2,Argentina,4769.24,1329.374,1.0,0,52
39,2013,1,ar000042,1,Argentina,453600.0,14749.306999999999,1.0,0,53
40,2013,1,ar000043,1,Argentina,3096450.0,14749.306999999999,1.0,0,54
41,2013,1,ar000043,2,Argentina,257538.95999999996,1329.374,1.0,0,54
42,2013,1,ar000044,1,Argentina,611100.0,14749.306999999999,1.0,0,55
43,2013,1,ar000044,2,Argentina,238462.0,1329.374,1.0,0,55
44,2013,1,ar000046,2,Argentina,429231.6,1329.374,1.0,0,57
45,2013,1,ar000050,1,Argentina,6300.0,14749.306999999999,1.0,0,62
46,2013,1,ar000050,2,Argentina,33384.68,1329.374,1.0,0,62
47,2013,1,ar000051,1,Argentina,14175.0,14749.306999999999,1.0,0,63
48,2013,1,ar000051,2,Argentina,9538.48,1329.374,1.0,0,63
49,2013,1,ar000052,1,Argentina,1145025.0,14749.306999999999,1.0,0,64
50,2013,1,ar000052,2,Argentina,69153.98,1329.374,1.0,0,64
51,2013,1,ar000053,1,Argentina,97650.0,14749.306999999999,1.0,0,65
52,2013,1,ar000053,2,Argentina,124000.24,1329.374,1.0,0,65
53,2013,1,ar000054,1,Argentina,1575.0,14749.306999999999,1.0,0,66
54,2013,1,ar000054,2,Argentina,4769.24,1329.374,1.0,0,66
55,2013,1,ar000055,1,Argentina,18900.0,14749.306999999999,1.0,0,67
56,2013,1,ar000055,2,Argentina,9538.48,1329.374,1.0,0,67
57,2013,1,ar000056,1,Argentina,0.0,14749.306999999999,1.0,0,68
58,2013,1,ar000057,2,Argentina,4769.24,1329.374,1.0,0,69
59,2013,1,ar000058,1,Argentina,34650.0,14749.306999999999,1.0,0,70
60,2013,1,ar000059,1,Argentina,504000.0,14749.306999999999,1.0,0,71
61,2013,1,ar000060,1,Argentina,315000.0,14749.306999999999,1.0,0,73
62,2013,1,ar000063,1,Argentina,1408050.0,14749.306999999999,1.0,0,76
63,2013,1,ar000063,2,Argentina,33384.68,1329.374,1.0,0,76
64,2013,1,ar000064,1,Argentina,8505000.0,14749.306999999999,1.0,0,77
65,2013,1,ar000065,1,Argentina,1417500.0,14749.306999999999,1.0,0,78
66,2013,1,ar000067,1,Argentina,236250.0,14749.306999999999,1.0,0,80
67,2013,1,ar000068,1,Argentina,434700.0,14749.306999999999,1.0,0,81
68,2013,1,ar000069,1,Argentina,811125.0,14749.306999999999,1.0,0,82
69,2013,1,ar00007,1,Argentina,132300.0,14749.306999999999,1.0,0,83
70,2013,1,ar000070,1,Argentina,0.0,14749.306999999999,1.0,0,84
71,2013,1,ar000074,1,Argentina,504000.0,14749.306999999999,1.0,0,87
72,2013,1,ar000075,1,Argentina,480375.0,14749.306999999999,1.0,0,88
73,2013,1,ar000075,2,Argentina,26230.82,1329.374,1.0,0,88
74,2013,1,ar000076,2,Argentina,2384.62,1329.374,1.0,0,89
75,2013,1,ar000077,2,Argentina,190769.6,1329.374,1.0,0,90
76,2013,1,ar000078,1,Argentina,31500.0,14749.306999999999,1.0,0,91
77,2013,1,ar000079,1,Argentina,55125.0,14749.306999999999,1.0,0,92
78,2013,1,ar000079,2,Argentina,159769.54,1329.374,1.0,0,92
79,2013,1,ar00008,1,Argentina,1023750.0,14749.306999999999,1.0,0,93
80,2013,1,ar000080,1,Argentina,393750.0,14749.306999999999,1.0,0,94
81,2013,1,ar000080,2,Argentina,157384.92,1329.374,1.0,0,94
82,2013,1,ar000081,1,Argentina,425250.0,14749.306999999999,1.0,0,95
83,2013,1,ar000082,1,Argentina,7875.0,14749.306999999999,1.0,0,96
84,2013,1,ar000083,1,Argentina,47250.0,14749.306999999999,1.0,0,97
85,2013,1,ar000084,1,Argentina,349650.0,14749.306999999999,1.0,0,98
86,2013,1,ar000085,1,Argentina,149625.0,14749.306999999999,1.0,0,99
87,2013,1,ar000086,1,Argentina,17325.0,14749.306999999999,1.0,0,100
88,2013,1,ar000087,2,Argentina,7153.86,1329.374,1.0,0,101
89,2013,1,ar000089,1,Argentina,1559250.0,14749.306999999999,1.0,0,103
90,2013,1,ar000090,1,Argentina,31500.0,14749.306999999999,1.0,0,105
91,2013,1,ar000091,1,Argentina,2211300.0,14749.306999999999,1.0,0,106
92,2013,1,ar000091,2,Argentina,62000.12,1329.374,1.0,0,106
93,2013,1,ar000092,1,Argentina,1638000.0,14749.306999999999,1.0,0,107
94,2013,1,ar000095,1,Argentina,36225.0,14749.306999999999,1.0,0,110
95,2013,1,ar000096,1,Argentina,17325.0,14749.306999999999,1.0,0,111
96,2013,1,ar000097,2,Argentina,4769.24,1329.374,1.0,0,112
97,2013,1,ar000098,1,Argentina,1212750.0,14749.306999999999,1.0,0,113
98,2013,1,be00001,2,Belgium,3296.86,249.59,1.0,1,116
99,2013,1,be000013,2,Belgium,13187.44,249.59,1.0,1,119
100,2013,1,be000015,2,Belgium,9890.58,249.59,1.0,1,121
101,2013,1,be000016,2,Belgium,8242.15,249.59,1.0,1,122
102,2013,1,be000017,2,Belgium,11539.01,249.59,1.0,1,123
103,2013,1,be000018,2,Belgium,26374.88,249.59,1.0,1,124
104,2013,1,be000024,2,Belgium,65937.2,249.59,1.0,1,131
105,2013,1,be000029,2,Belgium,32968.6,249.59,1.0,1,136
106,2013,1,be00003,2,Belgium,6593.72,249.59,1.0,1,137
107,2013,1,be000031,2,Belgium,1648.43,249.59,1.0,1,138
108,2013,1,be000033,2,Belgium,3296.86,249.59,1.0,1,140
109,2013,1,be000035,2,Belgium,14835.869999999999,249.59,1.0,1,142
110,2013,1,be000039,2,Belgium,82421.5,249.59,1.0,1,146
111,2013,1,be00004,2,Belgium,3296.86,249.59,1.0,1,147
112,2013,1,be000041,2,Belgium,3296.86,249.59,1.0,1,149
113,2013,1,be000042,2,Belgium,1648.43,249.59,1.0,1,150
114,2013,1,be00005,2,Belgium,9890.58,249.59,1.0,1,155
115,2013,1,be00007,2,Belgium,1648.43,249.59,1.0,1,157
116,2013,1,be00008,2,Belgium,14835.87,249.59,1.0,1,158
117,2013,1,c00000,1,Columbia,20573.04,1893.122,2.0,2,160
118,2013,1,c00001,1,Columbia,8572.1,1893.122,2.0,2,161
119,2013,1,c00001,2,Columbia,4800.0,1436.726,2.0,2,161
120,2013,1,c000010,1,Columbia,3428.84,1893.122,2.0,2,162
121,2013,1,c000010,2,Columbia,6400.0,1436.726,2.0,2,162
